Rank,Position,Name,School,Grade,URL,Summary,Strengths,Weaknesses,Round,Pro Comparison
67,OT,Max Iheanachor,Arizona State,7.4,https://bleacherreport.com/articles/25295941-nfl-draft-2026-scouting-report-arizona-state-ot-max-iheanachor,"Max Iheanachor has high-end physical tools — size, natural power, and quickness — but is a relative newcomer to football, and it shows in erratic strike timing, inconsistent hand placement, and lapses in spatial awareness that limit his ability to protect his frame, maintain posture, and sustain. He projects as a year-one high-level backup with starting upside, with his trajectory dependent on how quickly he can align his tools with consistent technique.

Iheanachor is a 6'6"", 321-pound offensive tackle prospect, who entered the Arizona State program as a 3-star JUCO recruit in the 2023 class. He was born in Nigeria where he played soccer and eventually excelled in basketball during high school. Iheanachor did not start playing football until his time at East Los Angeles College (JUCO) in 2021.

Iheanachor started 31 career games at right tackle, including 12 in 2025 and earned second team All-Big 12 honors.","— Loose, fluid mover out of his stance to reach landmarks on time.

— Excels at closing space and walling off defenders on down-blocks and double-team feeds.

— Active inside hand in pass protection with the redirect skills to cut off inside counters.

— Raw but has an intriguing size/athleticism combo without many ingrained bad habits to detangle.","— Raw, unintentional footwork on drive-blocks saps his power and leads to erratic sustain skills.

— Lapses in spatial awareness and timing leave him out of sync within the intent of the play.

— Shaky anchor due to passivity and late, wide hand-placement causes him to 'catch' too many blocks and concede ground initially.

— Pass protection consistency significantly drops off against widely-aligned rushers that force him onto an island.",3rd Round,Yosh Nijman
68,WR,De'Zhaun Stribling,Ole Miss,7.49,https://bleacherreport.com/articles/25353590-nfl-draft-2026-scouting-report-ole-miss-wr-dezhaun-stribling,"De'Zhaun Stribling emerged as a height, weight, and speed wide receiver prospect. He is a vertical, big-play matchup receiver.

Stribling possesses the play-strength, size and athleticism to fill the X-receiver spot among NFL offenses.

Stribling began his career with Washington State as a former 3-star recruit in the 2021 class. He finished his final season as the Rebels' second-leading receiver, with over 800 yards for the second consecutive season, including 199 combined yards in his two College Football Playoff appearances.","- Stribling is a long-strider, who eats up cushion quickly versus off-man coverage or bail techniques. He sells vertical routes well.

- A good combination of size, strength, and hand-eye coordination to high-point and secure catches. Stribling possesses the height and weight to be a true outside receiver.

- The native Hawaiian is a three-level threat.

- Stribling is effective on over-the-ball, hitch, curl, and comeback routes. He plays with good pacing to reach his designed spots.

- He showcases the skill set to defeat press-man alignment. Stribling uses his feet to move or freeze the defensive back, then delivers well-timed punches to clear their hands and get into his route.

- With the ball in flight, he has strong ball-tracking, field awareness, and ball skills to convert for explosive downfield plays.

- Stribling plays with good spatial awareness. He has a good feel for where defenders are to spin away and immediately get upfield for yards after catch.","- Short-area quickness in the contact window versus press alignment. Patient and athletic cornerbacks can mirror his releases.

- Stribling needs to expand his release package for consistent execution when pressed.

- Playing through contact at the catch point. Physical DBs can out battle him for the football.

- Stribling possesses build-up speed rather than instantaneous speed, which takes him a little longer to get into his routes and stack defenders.

- His hip sinkagae is average at best, does not snap off his routes for space creation.",,Shades of Romeo Doubs
69,CB,Brandon Cisse,South Carolina,7.4,https://bleacherreport.com/articles/25252312-nfl-draft-2026-scouting-report-south-carolina-cb-brandon-cisse,"Brandon Cisse has exceptional lateral and downhill explosion that he uses to trigger on perimeter runs/screens and maintain sticky man coverage. The willingness and physicality to jam in press coverage give him multiple tools to be a menace as a boundary corner.

The transfer from NC State has shone, taking away deep routes from opposing receivers with his length and recovery speed to close when he gets stacked vertically.

A former 3-star prospect and 4-star transfer, he accumulated 65 tackles (41 solo), three tackles for loss, two interceptions, ten passes defensed, and one forced fumble in his three-year collegiate career.","— The 5'11"", 189-pound corner looks the part on the field and on paper. His footwork is quick, while he keeps his center of gravity low to flip his hips and run downfield when he needs to.

— He sees the perimeter game quickly, run or pass, and explodes downhill to contribute and blow plays up.

— From hard/soft press to catch technique and trail, his array of man coverage tools gives him different ways to win on any given rep.

— He attacks the catch point with his arms, both down the field and triggering underneath to dislodge footballs.","— Cisse's zone instincts are lacking, and he does better when he can focus on one receiver or the quarterback.

— While he's willing to click downhill in run and screen support, he's not always willing to wrap up and tackle.

—Too many misses and avoidances in tackling on his tape, to go with his inability to stack and shed blocks.

— He tends to open his hips early in release packages, relying on his natural gifts to recover.",,Jaycee Horn
70,S,Bud Clark,TCU,7.4,https://bleacherreport.com/articles/25294726-nfl-draft-2026-scouting-report-tcu-s-bud-clark,"Bud Clark is an instinctual, ball-hawking defensive back who makes quarterbacks think twice before throwing his way. His ball production is among the best of all secondary members in the class.

The 6'0"", 188-pound safety closes downhill with long, galloping strides and shows off his range on the backend.

A former 4-star recruit, Clark has been a team captain for three straight seasons and is coming off a season where he earned second-team all-Big 12 honors. He led the Horned Frogs in interceptions with three, bringing his career total to 11 (entering 2025), and had his best tackling season, adding 67 tackles (43 solo), which was fourth on the team.","— Clark is always around the football and it shows in his ball production. He's a true ballhawk safety who operates best as a free-flowing defender or robber where he can read the quarterback and break on throws.

— Showcases the tools to flex to nickel and man up against tight ends, and he has the experience to handle a variety of roles.

— He's a long-limbed athlete who can cover ground forward or backward, but triggering downhill and jumping routes is where his closing speed shines. He's always looking to generate turnovers with an aggressive mindset.

— The three-time team captain contributes on special teams and is a willing participant against the run. He navigates blocks and looks to deliver big hits when the opportunity presents itself.","— Always looking to jump routes and create turnovers has its downside when quarterbacks can take you away from the play with their eyes. Clark will bail to one side of the field or trigger on an underneath route too quickly, and leave zones to do it.

— In man coverage, he opens his hips prematurely and allows receivers to attack his space to create separation. When patient, he can be grabby at the top of routes which can generate more penalties at the next level.

— He finds himself in the right positions downfield, but lacks the ball tracking and change of direction, due to high pad level, to consistently make plays turning and running. Receivers outwork him and have better timing at the catch point.

— Tackling technique needs to be cleaned up as he frequently lunges at ballcarriers legs and goes low, missing tackles and allowing for broken tackle opportunities. Putting on more mass will help him take on blocks at the next level.",3rd Round,Calen Bullock
71,Edge,Derrick Moore,Michigan,7.4,https://bleacherreport.com/articles/25315217-nfl-draft-2026-scouting-report-michigan-edge-derrick-moore,"Derrick Moore is a well-put-together pass-rusher who did an excellent job of expanding his repertoire this season to have an impressive senior year. The 6'3"", 260-pound edge defender went from winning almost exclusively with speed to power to adding a nice inside counter move and becoming more explosive this season.

Moore went to Michigan as a 4-star recruit in the 2022 class and was a contributor off the bench, collecting a couple of sacks as a true freshman.

He got more playing time in Year 2, becoming an honorable mention All-Big Ten selection with 34 tackles, six tackles for loss, five sacks and two passes defended for the National Champs.","- Moore has solid size and frame, and has good arm length.

- Acceleration off the line of scrimmage improved in 2025 to help threaten offensive tackles with speed and get them to open their hips.

- Good at turning speed to power as a pass-rusher, using good pad level and tight hands to get three points of contact on the offensive tackle. Also, keeps his feet moving through contact to collapse the pocket.

- Has shown a solid long arm move as a change up to shorten the corner around the edge, and has the change of direction to win with an inside counter move.

- Decent at working the offensive lineman's hands to win inside or outside against tackles.

- Comfortable dropping into coverage and has enough athleticism to spot drop occassionally.

- Against the run, he's physical at the point of attack and has enough strength to beat blocks from tight ends.

- Solid speed and doesn't get too far up the field to make tackles near the line of scrimmage when unblocked on the backside of zone runs.","- Isn't much of a factor as a run defender; Michigan often took Moore out of the game in key run situations.

- Doesn't have much pop behind his hands when taking on blocks as a run defender, making it difficult for him to get extension against offensive tackles.

- Will struggle to set the edge consistently against offensive linemen at the next level. While he's good at turning speed to power as a pass-rusher, he has subpar strength when he can't build up a head of steam and has to take on blocks at the line of scrimmage.

- The lack of extension and subpar strength can also lead to him getting stuck on blocks against offensive linemen.

- Hips and ankles look a little stiff, leading to questionable bend to corner at the top of the rush.",3rd Round,Boye Mafe
72,WR,Antonio Williams,Clemson,7.45,https://bleacherreport.com/articles/25308258-nfl-draft-2026-scouting-report-clemson-wr-antonio-williams,"Antonio Williams is an elusive run-after-catch threat who projects to be a productive slot receiver in the NFL.

Williams plays with good football IQ and understanding of how to attack different coverages. He's skilled enough to make plays with the football.

Williams joined Clemson as a 4-star recruit in the 2022 class. He finished the 2025 season as the Tigers' second-leading receiver.","- Excels at attacking and exploiting the voids versus zone coverages. Finds grass and settles into the openings.

- Fearless route-runner who can work in the middle of the field. Plays with good pacing to navigate high-traffic areas.

- Plays fast and sudden, placing defenders in conflict and forcing them to get to their spots in coverage quickly.

- Runs routes with good deception, using his body to sell breaks and movements to keep defenders off-balance.

- Projects to be a good yards-after-catch threat in the NFL due to his post-catch wiggle/elusiveness in the open field. Can put a move on a defender and get upfield.","- More quick than fast. Lacks the explosiveness to produce big plays out of the slot.

- Routes will need refining, emphasizing attention to detail. Freelances mid-stem and does not produce sharp cuts at the break point.

- Possesses average acceleration/burst out of his breaks to generate great amounts of space.

- Inexperienced versus press coverage. Needs to showcase he has the releases and ability to defeat it.",3rd Round,Christan Kirk
73,LB,Anthony Hill Jr.,Texas,7.4,https://bleacherreport.com/articles/25251782-nfl-draft-2026-scouting-report-texas-lb-anthony-hill-jr,"Anthony Hill Jr. is a highly instinctual linebacker who looks like a significant contributor as a run defender in the NFL. Hill is listed at 6'3"", 238 pounds and went to Texas as a 5-star recruit in the 2023 class, per 247Sports.

He made an immediate impact by recording 67 tackles, eight tackles for loss and five sacks to earn Freshman All-American and honorable mention All-Big 12 honors in addition to being the conference's co-Defensive Freshman of the Year.

As a sophomore in 2024, he was one of the most productive linebackers in the country, racking up 113 tackles, 16.5 TFLs (led the SEC) and eight sacks. That resulted in a second-team All-American and second-team All-SEC bids.","- Good size with a thick build and carries his frame well with no bad weight. Also, appears to have good arm length.

- Quick to key and diagnose running plays, constantly putting himself in a position to take on blocks or shoot gaps. Instinctual, consistently in the right spot and/or around the ball. Sniffs out screens well, too.

- Shown impressive lateral quickness and movement skills to move gap-to-gap on the second level or slip blocks with a shoulder dip move.

- Takes on blocks with his hands and has some upper body strength and the arm length to get extension against offensive linemen.

- Sure tackler who wraps up and rarely misses, long arms also increase his tackle radius.

- Still young, will be 21 years old on Feb. 14.","- Doesn't make much of an impact in coverage, primarily just a spot-dropper in zone coverage.

- Shown some hip stiffness, impacting his ability to turn and run when playing Cover 2 or stay in phase against running backs on choice routes.

- Questionable eyes in zone coverage, will get caught staring into the backfield and doesn't locate threats coming into his area well.

- Hasn't shown the ability to consistently stack and shed as a run defender.

- Tackles high which can lead to extra yards after contact from physical running backs.",3rd Round,Kenneth Murray
74,CB,Treydan Stukes,Arizona,7.4,https://bleacherreport.com/articles/25352707-nfl-draft-2026-scouting-report-arizona-cb-treydan-stukes,"Treydan Stukes gravitates toward the football and consistently gets his hands on it at every level of the field. With an explosive downhill trigger, he isn't afraid to get mixed up in the run game or take on blocks and drives through tackles when he gets there.

The former walk-on at Arizona has had an incredible journey in college football and is coming off a fantastic season in which he earned AP Third-Team All-American and Second-Team All Big-12 honors. After suffering a knee injury in 2024 and only playing in four games, Stukes made an impactful return to the Wildcats' defense with 52 tackles (24 solo), a tackle for loss, one sack, four interceptions, and six passes defensed.

His nickel and safety versatility give him a path to becoming a three-down defensive chess piece for an NFL defense.","— As a versatile nickel/safety hybrid, Stukes excels in zone coverage where he can read receivers' leverage, match route combinations, and see the quarterback's eyes to trigger on throws.

— He's an aggressive downhill playmaker with explosive click and close ability to take on blocks in the run and screen game or to just blow them up entirely. He drives through ball carriers and finishes plays.

— His natural instincts, matched with adept ball skills, driving downhill, turning, and running up the field, make him a risky option to test. He plays with excellent timing, and the ball production across his career speaks for itself.

— The 6'0"", 190-pound defensive back communicates and passes off routes cleanly underneath while feeling routes come in and out of his zone and playing with good depth and footwork in zone coverage.","— In man coverage, Stukes gives up too much ground inside to the receiver; opening the gate inside and backing off to the outside, giving easy access. He needs to stay more patient and mirror movements more clearly in man.

— He can get caught with his eyes in the backfield or wandering away from his assignment, leading to lapses in trigger efficiency and hurried recovery overtop.

— A willing run defender, he'll need to clean up his angles to the football and stop falling around ankles to continue being an impactful player in the run game.",3rd Round,Shades of Devon Witherspoon
75,WR,Elijah Sarratt,Indiana,7.4,https://bleacherreport.com/articles/25260206-nfl-draft-2026-scouting-report-indiana-wr-elijah-sarratt,"Elijah Sarratt is a strong and tough possession receiver with reliable hands. He is alignment versatile and creates advantageous matchups against smaller nickel corners.

Sarratt's game combines strong hands, route-running, and an infectious desire to make impactful plays when his team needs them.

Sarratt is a well-traveled pass catcher who began his career at St. Francis, transferred to JMU, and finished his career with Indiana. He is a former 0-star recruit in the 2022 class.","- Controlled and crafty route running. Sarratt specializes in remaining under control at the breaking point of his routes. His salesmanship is believable to push defensive backs vertically. He forces DBs to open their hips (gate) before intended, creating more segmented coverage reps.

- The Indiana transfer will excel on in-breaking routes at the NFL level. Whether shallow crossers, deep overs, slants, or dig routes (dagger concept), Sarratt is comfortable working across the field. He does a good job attacking inside leverage on these routes to stack the DB and place them out of phase and in trail position.

- Sarratt is comfortable playing through contact during his routes. Good use of hands (UOH) to dislodge the DB's punches to prevent latching and timing disruption. Effectively fighting through early contact in his reps will translate well to the NFL.

- The Hoosiers' top receiver displays the requisite body control to uncover from man coverage at any moment. Sarratt is a threat on back shoulder and slot fades. The combination of strong hands, patience, and body control is key to his success. He knows how to separate late in reps as the ball arrives, especially in the red zone.

- Reliability in late-game situations has become Sarratt's calling card. Against both Iowa and Oregon this season on the road, he caught the game-winning touchdowns. Even on the final offensive drives, he was pivotal to their success, driving down the field and into scoring range. Mentally, he relishes the big moments with the game on the line.","- Lacks explosiveness and top-end speed. He is not a dynamic vertical threat to win foot races down the sideline. This could limit how specific teams plan to deploy him and where they value his overall skill set during the draft.

- Sarratt's wingspan/arm length appears to be functional but may not be the longest. Raising issues or challenges in contested catch situations when he doesn't own the size advantage. He isn't expected to be a springy leaper, and this will limit his ability to high-point passes over the top of defenders on the outside.

- The development of his release package and craft to quickly overcome physical DBs in the NFL. Since he is not the most outstanding athlete, continuing his development as a craftsman will only benefit him.

- Positional role in the NFL will be questioned if he does not test well this draft season. It is possible that teams prefer to place him inside as a power slot rather than a traditional X or Z receiver.",3rd Round,Shades of Keenan Allen
76,S,Kamari Ramsey,USC,7.4,https://bleacherreport.com/articles/25262645-nfl-draft-2026-scouting-report-usc-s-kamari-ramsey,"Kamari Ramsey is an exceptional read-and-react defensive back who consistently identifies route combinations, receiver tells, and triggers to the football. The versatility Ramsey showcases allows him to flow from a two-high alignment to a robber to the nickel, making him a defensive chess piece.

Ramsey is a former 4-star recruit and transfer from UCLA to USC, where he's playing in his second season as a key piece of the Trojans' defense. He made his impact felt immediately after his transfer with 60 tackles (43 solo), five and a half tackles for loss, two sacks, five passes defensed, an interception, and two forced fumbles.

Unfortunately, he didn't have a great senior season after taking on more reps at nickel and battling injuries. He'll be most impactful as a versatile safety who can line up in the post, hash, or as a robber.","— Ramsey has fantastic eyes in zone coverage and his instincts take him to the football regularly. His athleticism allows him to mirror the quarterback and stay in phase beautifully.

— He does a great job recognizing plays and route concepts. He's always around the play, whether it's a run or a pass.

— As an off coverage defender, he reads route breaks and receiver deceleration in an instant. He triggers downhill or to the receiver while regularly attacking the catch point.

— His athleticism is an asset and allows him to maintain backpedal speed and flip his hips while reading leverage and the quarterback's eyes. He sinks his hips to decelerate quickly, too.

— He's a willing participant downhill in the screen and run game. His quick trigger let's him flow in the direction of the ball carrier/throw before other defenders.","— When Ramsey gets stacked vertically, his recovery speed is questionable and receivers can gain separation. His lateral burst to turn and run can be late, putting him behind speedy receivers.

— While he's a willing participant in the run game, he must improve his tackling technique to not fall off as many tackles.

— His upside as a nickel defender is limited by his short area lateral burst, effectiveness as a man defender and tackling ability in the run game can still create an impact.",,Ashton Davis
77,TE,Michael Trigg,Baylor,7.4,https://bleacherreport.com/articles/25260928-nfl-draft-2026-scouting-report-baylor-te-michael-trigg,"Michael Trigg is a matchup problem for defenses. The hybrid target already displays the nuance and route detail to immediately contribute in an NFL offense.

Trigg was a 4-star recruit who entered his redshirt-senior season having played for USC, Ole Miss, and Baylor. After dealing with injuries at Ole Miss, Trigg transferred to Baylor and looked to improve upon his 2024 campaign. He set career highs this past season with 50 receptions for 694 yards and six touchdowns.

The tight end prospect blossomed into a premium weapon during his final season on campus.

— Trigg is a true matchup problem, who presents alignment versatility. He has the physical gifts to create space against a multitude of defenders.","— Trigg is a true matchup problem, who presents alignment versatility. He has the physical gifts to create space against a multitude of defenders.

— He's a route craftsman, who uses explosive movements in the stem to attack leverage. He manipulates defenders well and his feel at the top of routes is clean.

— Showcases the tracking, ball skills and timing to routinely make plays outside of his frame and down the field in contested windows.

— An explosive mover in his routes and after the catch with enough speed to threaten the seams. Shows toughness after the catch to fight for yards.","— While Trigg shows physicality after the catch, his all-around game needs more. He must impose his will as a blocker and move people.

— He particularly needs to improve his technique as a blocker in the run game. He plays with high pad level and regularly opens his chest for defenders to gain control.

— Concentration drops are littered throughout his tape. The oversized wide receiver needs to attack the ball in the air and not let it travel into the body.

— Effort concerns are littered throughout his tape.",,Evan Engram
78,LB,Jacob Rodriguez,Texas Tech,7.3,https://bleacherreport.com/articles/25324593-nfl-draft-2026-scouting-report-texas-tech-lb-jacob-rodriguez,"Jacob Rodriguez was hands-down the best linebacker in college football this season. The Butkus Award winner is a turnover machine with impressive instincts as a run defender. However, he lacks NFL length/size (listed at 6'1"", 235 pounds) and traits to be a high-level prospect in the 2026 draft class.

A 3-star recruit as an athlete in the 2021 class, Rodriguez's college career began at Virginia, and on the other side of the ball. He lined up at several positions for the Cavaliers: quarterback, running back, wide receiver, and tight end, before transferring to Texas Tech and moving to linebacker the following year.

The Red Raider was a rotational player during his first season in Lubbock, and he began the 2023 campaign as a starter. However, a Lisfranc sprain and bone bruise in his foot limited him to just five games, 32 tackles, one tackle for loss, an interception, two passes defended and two forced fumbles.","- Great production over the last two seasons.

- Good instincts against the run to quickly key and diagnose plays, putting himself in positions to make tackles for short gains.

- Sifts through trash and mirrors running backs well.

- Solid lateral movement skills to make offensive linemen miss in space.

- Decent tackler who wraps up and brings his feet with him. Also has decent pad level.

- Has mastered the ""Peanut Punch"" to create turnovers, evidenced by his 13 career forced fumbles.

- Good at recognizing play-action passes and has solid hip fluidity to turn and ROBOT, also showing a decent ability to locate threats when ROBOTing.

- Impressive ability to track the ball and has good hands for a linebacker to get interceptions. Wide receiver/tight end background helps him here.","- Rodriguez lacks the ideal height and has shorter arms for an NFL linebacker.

- Combination of arm length and below-average strength limits his extension and leads to him getting stuck on blocks from offensive linemen.

- Also doesn't have much knockback power when coming downhill, either when taking on blocks or making tackles against bigger running backs. The latter can lead to extra yards after contact.

- Struggles to anchor when taking on blocks from offensive linemen.

- Subpar speed, limiting his sideline-to-sideline range and making him a liability when playing Tampa 2. His 40-time at the combine doens't always show up on film.

- Eye discipline and awareness in zone coverage are lacking, too often he leaves threats open in his area and covers grass.",3rd Round,Jack Sanborn
79,OT,Markel Bell,Miami,7.3,https://bleacherreport.com/articles/25361369-nfl-draft-2026-scouting-report-miami-ot-markel-bell,"Markel Bell is a towering, light-footed tackle prospect, who maximizes his length to cast a wide net in pass protection and active feet to displace defenders in the run game. Bell's upright style and solid, though not great overall athletic ability, cap his ceiling. However, his size and skill-level signal a high-quality swing tackle with starter upside.

Bell is a 6'9"", 346-pound tackle prospect, who entered the Miami program as a 4-star JUCO recruit in the 2024 class. He started two seasons at Holmes Community College in Mississippi before arriving to Miami in 2024. The former Hurricane started 21 games at left tackle in Coral Gables, including 16 in 2025. Bell participated in the 2026 Senior Bowl.

Brandon Thorn: Brandon is the author of the Trench Warfare newsletter, which focuses exclusively on offensive and defensive line evaluation. He also contributes as an analyst to Establish the Run, serves as the scouting coordinator for OL Masterminds and is a selection committee member for the Joe Moore Award.","— Fluid mover with good redirect skills for a gargantuan tackle prospect.

— Premier length. Bell has gotten progressively better at weaponizing his length with independent strikes that keep him in-phase against counter-moves.

— Brings his feet with him in the run game to create torque and alleys on frontside kick-outs, down-blocks and double-team feeds.

— Has made significant strides with his technique and been on an upwards trajectory since arriving at Miami.","— Height and upright playing style make him vulnerable to the forklift technique from defenders working underneath his pads to pry him open, thus negating his size advantage.

— Susceptible to biting on inside-out stutters into high-side rushes, thus giving up short corners.",,King Dunlap
80,DL,Domonique Orange,Iowa State,7.3,https://bleacherreport.com/articles/25261690-nfl-draft-2026-scouting-report-iowa-state-dl-domonique-orange,"Dominique Orange is a densely-built nose tackle and a boulder against the run. The 6'2"", 325-pound defensive lineman, who's nicknamed ""Big Citrus,"" has impressive strength at the point of attack, making him impossible to move with one-on-one blocks and a gap-filler against double-teams.

Orange went to Iowa State as a 3-star recruit in the 2022 class and became an immediate contributor, playing in a rotational role as a true freshman. He turned into a spot starter during his second year on campus, collecting 16 tackles and two tackles for loss before earning the full-time job as a junior, totaling 24 tackles, 4.5 TFLs and a sack.

The Cyclone has earned honorable mention All-Big 12 honors in both the 2023 and '24 campaigns. He managed to receive third-team All-Big 12 recognition this past season, posting 18 tackles, half a TFL and no sacks.","- Thick build and good size for an NFL nose tackle.

- Good initial quickness to get penetration when shooting gaps.

- Impressive pop in Orange's hands, with accompanying upper body strength, to generate knockback power and reset the line of scrimmage when taking on blocks.

- Plays with good pad-level and attacks the man he's lined up across to help stay in his gap assignment when taking on double-team blocks.

- Runs his feet to help avoid getting reached or scooped.

- Can make tackles with offensive linemen hanging onto him.

- Active hands as a pass-rusher.","- Orange has room for improvement when it comes to disengaging and escaping from blocks.

- Struggles to break down in the backfield and often runs too far up the field upon gaining penetration.

- Plays with a narrow base, which can get him in trouble against combo blocks if the offensive linemen can survive initial contact.

- Minimal pass-rush production. Orange isn't an effective bull-rusher to consistently collapse the pocket. Projects as a two-down player at the next level.",3rd Round,T.J. Slaton
81,Edge,Dani Dennis-Sutton,Penn State,7.3,https://bleacherreport.com/articles/25261646-nfl-draft-2026-scouting-report-penn-state-edge-dani-dennis-sutton,"Dani Dennis-Sutton looks like he was built in a lab to play in the NFL. At 6'5"", 265 pounds with long arms, he has the size and length for the position, with plenty of strength to be a quality run-defender and solid power-rusher.

Dennis-Sutton entered Penn State as a 5-star recruit in the 2022 class and made an impact with 17 tackles, 3.5 for loss and three sacks to be named a True Freshman All-American (ESPN).

His role expanded as a sophomore, with increased production (26 tackles, six tackles for loss and 3.5 sacks) to earn third-team All-Big Ten honors. In 2024, the Nittany Lion was a full-time starter opposite Abdul Carter and posted 42 tackles, 13 TFLs and 8.5 sacks to earn an honorable mention All-Big Ten selection.","- Good size and has long arms. Looks the part of an NFL defensive end.

- Quick to shoot his hands and take on blocks, while also showing impressive upper-body strength to get extension and set the edge. Dennis-Sutton physically dominates tight ends, too.

- Solid when taking on pullers, either getting underneath them as the spill player or creating a stalemate as the force player.

- Decent at shedding and getting off blocks to make tackles against the run.

- Solid power-rusher with a decent long-arm to occasionally collapse the pocket.

- Also showed solid hand-swipe and a rip move to win when working around the edge. Dennis-Sutton displays a good motor to generate coverage sacks.","- Lacks twitch and displays subpar athleticism.

- Heavy-footed and isn't explosive off the snap. Dennis-Sutton doesn't threaten offensive tackles with speed as an edge-rusher.

- Bend is below-average to turn tight corners. Combined with his lack of quick-twitch fibers, his makeup limits the ability to make backside tackles when unblocked.

- Struggles to break down in the backfield. His subpar athletic ability will cause him to miss sacks and let mobile quarterbacks escape the pocket.

- Needs to improve his rotational strength and avoid getting his shoulders turned against combo/scoop blocks.",3rd Round,Dorance Armstrong
82,S,Genesis Smith,Arizona,7.3,https://bleacherreport.com/articles/25352435-nfl-draft-2026-scouting-report-arizona-s-genesis-smith,"Genesis Smith has the makings of an NFL centerfielder with his natural athletic gifts, size, length, and ability to cover ground. He does a great job of letting the quarterback take him to the football and can handle a multitude of tight end archetypes in man coverage.

The former 3-star recruit is entering the draft after his true junior season as a team captain. Over the last two seasons, he's piled up 140 tackles, 74 solo, four interceptions, 14 passes defensed, three fumble recoveries, and four forced fumbles. He made a name for himself, impacting the defense at every level for the Wildcats.

— Smith is tall, long, and rangy from the safety position. His athletic gifts allow him to cover ground quickly both downhill and down the field from the post.","— Smith is tall, long, and rangy from the safety position. His athletic gifts allow him to cover ground quickly both downhill and down the field from the post.

— His man coverage technique and footwork are sound and give him nickel ability against bigger receivers and tight ends. He's sticky and reads receiver movements well.

— He triggers downhill in the run and screen game while mirroring tight end motions and pulls. He's comfortable playing at or near the line of scrimmage and has the tools to battle blocks.

— The 6'2"", 202-pound safety locates the ball in the air quickly and tracks it well. With his length and timing, he does a good job of impacting the catch point and knocking the ball away.","— Smith takes aggressive and poor angles to the line of scrimmage from the post position and gives running backs easier access to the field.

— Tackling technique is inconsistent, and he doesn't drive through ball carriers enough, allowing them to break tackles. Using his length to wrap up better and driving his legs will clean up missed tackles.

— He's still growing as an instinctual player in zone coverage; he relies too heavily on the quarterback's eyes to take him to the play.",3rd Round,Shades of Jaquan Brisker
83,CB,Daylen Everette,Georgia,7.3,https://bleacherreport.com/articles/25316391-nfl-draft-2026-scouting-report-georgia-cb-daylen-everette,"Daylen Everette is a natural athlete with untapped potential to be unlocked in the right system.

The Georgia cornerback thrives in man coverage, where he can smartly use his hands to press or re-route receivers and mirror their movements. He does a great job of making contact without holding, and he uses the proper hand to avoid locking his hips during transitions.

The former 5-star recruit has battled inconsistencies throughout his career, but has settled down in man coverage, relishes going up against the offense's best receiver, and raises his game in those situations.","— With a prototypical NFL build, Everette has the size and length to contribute on the boundary with deep speed, foot quickness, and physicality to match. He uses his length to throw off timing and impact the catch point.

— He's an effective press man cover corner who showcases patience and jam technique to stay in phase. His mirroring ability and hip fluidity keep him right in hip pockets on route breaks and down the field.

— Closing speed shows up on route breaks and as a blitzer. He hides his intentions well and can cover ground in a hurry to impact the quarterback or at the catch point.

— He can stay on top of receivers and play trail technique adequately while using his deceleration ability to come back on comeback routes. Shows a wide range of man coverage techniques.","—Everette's zone instincts are a work in progress, and keep him a second slow to the football. He needs to see route combinations better and match them to the quarterback to speed up his process.

— In off coverage, his eyes wander and linger too long. Making him slower in reacting to plays, while looking far less comfortable in space with his movements.

— Overall consistency needs to be cleaned up, and the effort in the run game comes into question. His length allows him to wrap up well, but his pursuit angles and being too patient leave him diving at feet and missing tackles.",3rd Round,Deonte Banks
84,S,Jakobe Thomas,Miami,7.3,https://bleacherreport.com/articles/25336309-nfl-draft-2026-scouting-report-miami-s-jakobe-thomas,"Jakobe Thomas is constantly delivering big hits, triggering downhill with force and a physical, click-and-close ability. The aggressive mindset shows up in multiple phases in his game and contributes to his added impact as a blitzer and a box safety.

The former 3-star recruit and 3-star transfer played three seasons at Middle Tennessee State before taking his game to Tennessee, having a down season, and then transferring to Miami for his final collegiate season. Setting career highs in tackles for loss, sacks, forced fumbles, and recovered fumbles, Thomas made an immediate impact for the Hurricanes' defense.

— Thomas is a playmaker, triggering downhill in all phases of the game while packing a punch as a hitter and bringing the energy all game. His reactive athleticism is always on display, no matter where he's lined up.","— Thomas is a playmaker, triggering downhill in all phases of the game while packing a punch as a hitter and bringing the energy all game. His reactive athleticism is always on display, no matter where he's lined up.

— The 6'1"", 211-pound safety has been weaponized against quarterbacks as a blitzer while also racking up tackles for loss. He gets in the backfield and causes havoc for blockers and ball carriers alike.

— With eyes constantly on the quarterback, Thomas shows middle of the defense 'robber' qualities to mirror the quarterback and make plays on the football. He has the ball skills to be a ballhawk-type safety with good range.

— He shows the capability and has the body type to man up against tight ends and be sticky. His length and quickness flash nickel upside, giving him functional versatility.","— Thomas keys on the quarterback's eyes in the passing game to a fault. It tends to take him away from responsibilities as a split or single high safety, and takes longer to trigger on route combinations.

— His aggressive mindset is an asset to defenses, but more controlled movements downhill will help his tackling technique. Too often, he was left grasping at air and leaving his feet, and he needs to clean up his pursuit angles.

— Growing from a play development standpoint. Thomas clicks and closes well, but he can be a step behind the play while his processing catches up.",,Minkah Fitzpatrick-lite
